"org_key","name","city","state"
"1","Austin Medical Center","Austin","TX"
"2","Greenwich Weight Loss Program","Greenwich","CT"
"3","Texas General Hospital","Houston","TX"
"4","Texas Heart Institute","Houston","TX"
"7","Texas Medical Center","Houston","TX"
"15","Texas Dental Surgery Center","Dallas","TX"
"16","St. Vincent's Hospital","Houston","TX"
"17","ABC Hospital","Dallas","TX"
"18","Texas Bariatric Center","Houston","TX"
"23","Baylor University Medical Center","Dallas","TX"
"29","University of Michigan","Ann Arbor","MI"
"30","Texas Urology Center","Houston","TX"
"32","MCG Urology Clinic","Augusta","GA"
"33","ABC Radiology","Houston","TX"
"40","Texas Children's Hospital","Houston","TX"
"50","Children's Hospital of Houston","Houston","TX"
"70","Children's Hospital","Houston","TX"
"71","Pediatric Urology Clinic","City","STATE"
"72","Cottonwood Medical Center","Dallas","TX"
"73","Texas Urology Specialists","Houston","TX"
"124","Austin Urology Associates","Austin","TX"
"141","Houston VA Medical Center","Houston","TX"
"174","ABCD General Hospital","Austin","TX"
"175","ABCD Urology","Houston","TX"
"177","Texas Eye Institute","Houston","TX"
"190","Texas General Hospital","Dallas","TX"
"197","Texas Surgical Center","Dallas","TX"
"209","Austin General Hospital","Austin","TX"
"234","ABCD General Hospital","Houston","TX"
"245","ABC Hospital","Houston","TX"
"277","Texas Spine Institute","Dallas","TX"
"282","ABCD Hospital","Houston","TX"
"363","ABCD Surgical Center","Houston","TX"
"378","Strickland and Associates","Houston","TX"
"389","Chattanooga GYN Oncology","Chattanooga","TN"
"452","Dallas Plastic Surgery Center","Dallas","TX"
"479","ABCD Preoperative Holding Area","Houston","TX"
"489","Detroit Diesel Medical Center","Detroit","MI"
"492","Children's Medical Center","Dallas","TX"
"501","Cottonwood Medical Center","Houston","TX"
"526","Stanford Plastic Surgery Service","Stanford","CA"
"540","ABCD General Hospital","Dallas","TX"
"593","General Surgical Service","Houston","TX"
"669","Texas General Hospital","Austin","TX"
"670","Texas Eye Institute","Dallas","TX"
"715","XYZ Hospital","Houston","TX"
"747","Providence Hospital","Houston","TX"
"754","ABCD","Dallas","TX"
"864","ABC Center","Dallas","TX"
"869","Hospital Day Surgery","Dallas","TX"
"880","Northwest Ohio Orthopedics","Toledo","OH"
"886","Texas Health Presbyterian Hospital Dallas","Dallas","TX"
"897","Texas Women's Hospital","Houston","TX"
"940","Medical College Hospital","Houston","TX"
"1053","General Hospital","Houston","TX"
"1080","ABCD","Austin","TX"
"1086","ABCD Surgical Center","Dallas","TX"
"1088","ABCD Surgical Center","Austin","TX"
"1096","Medical Center","Houston","TX"
"1108","Dallas Medical Center","Dallas","TX"
"1118","Dallas Children's Medical Center","Dallas","TX"
"1123","Parkland Health","Dallas","TX"
"1146","ABCD Surgery Center","Houston","TX"
"1155","DaVita","Alameda","CA"
"1157","ABCD","Houston","TX"
"1161","Children's Medical Center Dallas","Dallas","TX"
"1190","ABCD Hospital","Dallas","TX"
"1209","University of Maryland Medical Center","Baltimore","MD"
"1210","Texas Health Resources","Dallas","TX"
"1215","Austin Children's Hospital","Austin","TX"
"1216","Texas Pulmonary Specialists","Houston","TX"
"1225","Gila Medical Center","Silver City","NM"
"1230","Sample Clinic","Austin","TX"
"1233","Texas Rehabilitation Hospital","Austin","TX"
"1248","Nursing Home","Austin","TX"
"1249","Texas Oncology","Dallas","TX"
"1255","Genesis Medical Center","Wichita","KS"
"1260","Texas Spine Institute","Houston","TX"
"1262","KU Medical Center","Kansas City","KS"
"1265","Kansas Christian Home","Wichita","KS"
"1268","General Med Clinic","Austin","TX"
"1274","General Hospital of Texas","Austin","TX"
"1276","Bad Axe Hospital","Bad Axe","TX"
"1278","General Hospital","Austin","TX"
"1279","City of Wichita Health System","Wichita","KS"
"1287","Baylis Building","Houston","TX"
"1299","Memorial Medical Center","Houston","TX"
"1316","ABC D.O.","Austin","TX"
"1318","Texas ENT Specialists","Dallas","TX"
"1342","ABC Medical Center","Houston","TX"
"1347","Tahoe Pacific","Houston","TX"
"1357","Texas Sleep Institute","Houston","TX"
"1359","Texas Sleep Clinic","Austin","TX"
"1360","Texas Sleep Clinic","Houston","TX"
"1364","Texas Sleep Disorders Center","Dallas","TX"
"1366","Texas Sleep Disorders Center","Houston","TX"
"1376","Pediatric Rheumatology Clinic","Dallas","TX"
"1384","Pediatric Rheumatology Clinic","Austin","TX"
"1406","Texas Imaging Center","Austin","TX"
"1426","University of Iowa Hospitals and Clinics","Iowa City","IA"
"1439","MD Anderson Cancer Center","Houston","TX"
"1450","Texas Imaging Center","Dallas","TX"
"1466","University of Texas Southwestern Medical Center","Dallas","TX"
"1469","Texas Medical Imaging","Houston","TX"
"1493","Local Hospital","Austin","TX"
"1498","University of Texas Medical Branch","Galveston","TX"
"1505","Austin Imaging Center","Austin","TX"
"1506","University Medical Center","Austin","TX"
"1547","Texas Imaging Center","Houston","TX"
"1635","Barrows Neurological Institute","Phoenix","AZ"
"1644","The ABCD Hospital","Houston","TX"
"1647","Houston Methodist Hospital","Houston","TX"
"1652","Alaska Psychiatric Institute","Anchorage","AK"
"1653","Texas Mental Health Center","Austin","TX"
"1656","Austin Behavioral Health","Austin","TX"
"1657","XYZ Health System","Dallas","TX"
"1658","Elmendorf Air Force Base","Anchorage","AK"
"1662","St. Luke's Hospital","Houston","TX"
"1670","UTMB Hospitals","Galveston","TX"
"1671","Behavior Center","Tyler","TX"
"1672","Northwest Natural","Portland","OR"
"1676","Hospital Center","Houston","TX"
"1678","Children's Hospital","Dallas","TX"
"1681","Sinai Hospital","UNKNOWN","TX"
"1683","Plum Industries","Dallas","TX"
"1685","Southwest Memorial Hermann Hospital","Houston","TX"
"1695","Austin Foot & Ankle Specialists","Austin","TX"
"1696","Texas Child Psychiatry Center","Austin","TX"
"1698","The Clinic","UNKNOWN","TX"
"1713","Texas Orthopedic Hospital","Houston","TX"
"1723","Austin Urgent Care","Austin","TX"
"1724","Austin Podiatry Clinic","Austin","TX"
"1725","Austin Podiatry Group","Austin","TX"
"1729","ABCD Medical Center","Houston","TX"
"1733","ABCD Preoperative Holding Area","Austin","TX"
"1740","Texas Physical Therapy Specialists","Dallas","TX"
"1746","ABCD Medical Center","Dallas","TX"
"1762","St. Joseph Hospital","Wichita","KS"
"1766","Hoover High School","Fresno","CA"
"1767","Newton Medical Center","Newton","KS"
"1782","Children's Hospital Central California","Madera","CA"
"1792","ABC Valley","Dallas","TX"
"1800","ABCD Memorial Hospital","Houston","TX"
