"provider_key","name","specialty"
"1","Dr. Alice Chen","Allergy / Immunology"
"2","Dr. Lynn Holmberg","Bariatrics"
"3","Dr. Emily Chen","Bariatrics"
"4","Dr. Emily Chen","Cardiology"
"5","Dr. Evelyn Reed","Cardiology"
"6","Dr. John Smith","Bariatrics"
"7","Dr. Emily Carter","Plastic Surgery"
"8","Dr. Alice Chen","Cardiology"
"9","Dr. Emily Carter","Bariatrics"
"10","Dr. Emily Patterson","Cardiology"
"13","Dr. Evelyn Reed","Neurology"
"15","Dr. John Smith","Dentistry"
"17","Dr. Emily Patel","Thoracic Surgery"
"19","Dr. John Smith","Urology"
"20","Dr. Ethan Thompson","ENT"
"25","Dr. Ethan Thompson","Urology"
"29","Dr. Ethan Patterson","Urology"
"46","Dr. Emily Carter","Urology"
"52","Dr. A","Urology"
"53","Dr. Emily Patel","Urology"
"54","Dr. XXX","Urology"
"63","Dr. McDevitt","Urology"
"67","Dr. Robert Smith","Urology"
"72","Dr. Craig Connor","Urology"
"73","Dr. Evelyn Reed","Urology"
"82","Dr. Alice Chen","Urology"
"92","Dr. Y","Urology"
"123","Dr. Emily Patel","Radiation Oncology"
"130","Dr. John Doe","Urology"
"132","Dr. Emily Chen","Nephrology"
"139","Dr. G","Urology"
"142","Dr. Alexander Reynolds","Urology"
"158","Dr. Khan","Urology"
"167","Dr. Emily Chen","Plastic Surgery"
"169","Dr. Redmond","Urology"
"174","Dr. Ethan Thompson","Surgery"
"177","Dr. Evelyn Reed","Ophthalmology"
"181","Dr. John Smith","Surgery"
"182","Dr. John Smith","Ophthalmology"
"191","Dr. Wildes","Surgery"
"194","Dr. Evelyn Reed","Neurosurgery"
"206","Dr. Emily Carter","Surgery"
"213","Dr. Alice Chen","Surgery"
"226","Dr. Robert Smith","Surgery"
"227","Dr. Evelyn Reed","Surgery"
"234","Dr. Emily Chen","Surgery"
"239","Dr. Emily Carter","Pediatric Cardiology"
"282","Dr. Y","Surgery"
"306","Dr. A","Surgery"
"311","Dr. Green","Pathology"
"321","Dr. Petty","Surgery"
"326","Dr. Emily Carter","Obstetrics and Gynecology"
"331","Dr. [REDACTED]","Surgery"
"334","Dr. Emily Carter","Pediatrics"
"337","Dr. Emily Chen","Neurosurgery"
"358","Dr. Mrs. X","Pediatric Cardiac Surgery"
"368","Dr. Smith","Surgery"
"378","Dr. Strickland","Surgery"
"389","Dr. R","Surgery"
"398","Dr. Ethan Thompson","Cardiothoracic Surgery"
"428","Dr. John Smith","Orthopedic Surgery"
"436","Dr. Jun","Ophthalmology"
"437","Dr. Emily Chen","Ophthalmology"
"453","Dr. McDevitt","Surgery"
"460","Dr. Zuba","Surgery"
"462","Dr. [Attending Surgeon Name]","Ophthalmology"
"485","Dr. Emily Chen","Surgery"
"486","Dr. Oral Surgeon","Surgery"
"491","Dr. Alex Smith","Oral and Maxillofacial Surgery"
"497","Dr. Emily Patterson","Surgery"
"501","Dr. Craig Connor","Surgery"
"511","Dr. Jane Smith","Surgery"
"525","Dr. John Doe","Surgery"
"561","Dr. Diener","Surgery"
"572","Dr. Emily Chen","Obstetrics and Gynecology"
"580","Dr. Anesthesia Department","Anesthesiology"
